TXT003,TXT001
30214,PSICOLOGIA EN LOS DEPORTES
30215,REDACCION CREATIVA
30216,REDACCION PERIODISTICA
30217,REDACCION PERIODISTICA DEPORTIVA
30218,RELACIONES PUBLICAS
30219,RESOLUCION DE CONFLICTOS
30220,RETAIL MANAGEMENT
30221,REVENUE & RATE MANAGEMENT
30222,SCRIPTING DE LENGUAJES NATIVOS
30223,SEGURIDAD EN SISTEMAS OPERATIVOS
30224,SEGURIDAD Y CONTINUIDAD DE SISTEMAS
30225,SEMIOTICA VISUAL
30226,SEÑALETICA
30227,"SERVICIOS DE VOZ, VIDEO Y WIRELESS"
30228,SERVIDORES Y ALMACENAMIENTO
30229,SHADING Y TEXTURIZADO
30230,SIMULADORES LIQUIDOS
30231,SISTEMAS DE CONTROL Y GOBIERNO DE TI
30232,SISTEMAS DE DISTRIBUCION INTERNACIONAL
30233,SISTEMAS ESTRUCTURALES FACIALES
30234,SISTEMAS ESTRUCTURALES PARA ANIMACION 3D Y VIDEOJUEGOS
30235,SUPERVISION Y EVALUACION DE EQUIPOS COMERCIALES
30236,TALLER DE ARTES VISUALES
30237,TALLER DE AUDIOVISUALES
30238,TALLER DE EXPRESION GRAFICA
30240,TALLER DE ESCULTURA
30241,TALLER DE INVESTIGACIONES
30243,TALLER PROFESIONAL DE ANIMACION Y ESTRUCTURA
30244,TALLER Y PRODUCCION DE REPORTAJES
30245,TECNICAS DE HACKING Y ANALISIS FORENSE
30246,TALLER DE TECNICAS DE SERVICIOS DE A&B
30247,PRODUCCION GRAFICA
30248,TECNICAS MULTIMEDIA
30249,TECNICAS Y ENTRENAMIENTO COMERCIAL
30250,TECNICAS Y TACTICAS DEL FUTBOL
30251,TENDENCIAS Y COOLHUNTING
30252,GESTION DE RECEPCION Y RESERVAS
30253,TIPOGRAFIA
30254,TOMA DE DECISIONES GERENCIALES
30255,TRADE MARKETING AND CATEGORY MANAGEMENT
30256,VALORIZACION DE EMPRESAS
30257,VIRTUALIZACION DE INFRAESTRUCTURAS TECNOLOGICA
30264,FUNDAMENTOS VISUALES
30266,CALIDAD Y SEGURIDAD EN LOS SERVICIOS TURISTICOS
30267,CIRCUITOS TURISTICOS
30271,ESTADISTICA APLICADA AL TURISMO
30272,ESTRATEGIAS Y CAPTACION DE TURISMO DE REUNIONES
30273,"ETIQUETA, PROTOCOLO E IMAGEN PERSONAL"
30274,GESTION DE TURISMO DE REUNIONES
30275,HISTORIA DEL ARTE Y FOLKLORE PERUANO
30276,HISTORIA Y GEOGRAFIA TURISTICA DEL PERU
30277,IDENTIDAD Y PATRIMONIO CULTURAL
30278,INDUSTRIA DE REUNIONES
30279,INTRODUCCION A LA INDUSTRIA DE LA HOSPITALIDAD Y TURISMO
30280,LEGISLACION PARA LA INDUSTRIA DE LA HOSPITALIDAD Y TURISMO
30281,MARKETING DIGITAL TURISTICO Y HOTELERO
30282,OPERACIONES DE EMPRESAS DE SERVICIOS TURISTICOS Y REUNIONES
30283,PRODUCTO TURISTICO
30284,SISTEMAS PARA LA GESTION DE SERVICIOS TURISTICOS
30285,TALLER DE INVESTIGACION TURISTICA
30286,TALLER DE MUSEOLOGIA
30287,COMPORTAMIENTO DEL CONSUMIDOR EN UN ENTORNO DIGITAL
30303,FOTOGRAFIA PERIODISTICA
30305,HISTORIA DE LOS MEDIOS
30307,LENGUAJE TELEVISIVO
30313,TALLER DE DESARROLLO DE CONTENIDOS MULTIPLATAFORMA
30316,TEORIA DE LA COMUNICACION
30317,INTRODUCCION AL DESARROLLO DE VIDEOJUEGOS
30318,DISEÑO DE ESCENARIOS PARA VIDEOJUEGOS 3D
30319,ANIMACION PARA VIDEOJUEGOS 3D
30320,PROGRAMACION WEB II
30321,DISEÑO DE PERSONAJES PARA VIDEOJUEGOS 3D
30323,DESARROLLO DE HERRAMIENTAS PARA VIDEOJUEGOS
30326,METODOLOGIA DE INNOVACION EMPRESARIAL
30329,INTELIGENCIA DE NEGOCIOS INTERNACIONALES
30330,BUSINESS INTELLIGENCE
30331,PSICOLOGIA ORGANIZACIONAL
30332,ADMINISTRACION Y GESTION DE PERSONAS
30333,INCORPORACION DEL TALENTO
30334,DESARROLLO DEL INDIVIDUO EN LA ORGANIZACION
30336,"CULTURA, CLIMA Y COMUNICACION CORPORATIVA"
30337,RETENCION Y SUCESION DEL TALENTO
30338,HERRAMIENTAS DIGITALES EN RECURSOS HUMANOS
30339,LEGISLACION LABORAL Y NEGOCIACION COLECTIVA
30340,VALORIZACION DE CARGOS Y DISEÑO DE ESTRUCTURA SALARIAL
30341,"COMPENSACIONES, BENEFICIOS Y BIENESTAR"
30342,INDICADORES EN RECURSOS HUMANOS
30343,MODELO DE GESTION POR COMPETENCIAS
30344,MANAGEMENT DEL CONOCIMIENTO
